degree,features,accuracy,delta_accuracy,roc_auc,delta_auc
0.0,0,0.78,0.0,0.8172857314581079,0.0
0.05,1,0.72,-0.07692307692307698,0.7421565091958168,-0.09192528312987203
0.1,2,0.7,-0.10256410256410266,0.7109027527347037,-0.13016620091189873
0.15,3,0.715,-0.0833333333333334,0.7038105541531434,-0.13884394763935867
0.2,4,0.695,-0.10897435897435907,0.6873422286332492,-0.1589939697014266
0.25,5,0.675,-0.13461538461538458,0.6333693953600192,-0.2250330931019267
0.3,6,0.615,-0.21153846153846156,0.5955042673398245,-0.27136343579938216
0.35,7,0.675,-0.13461538461538458,0.6256160596225507,-0.23451978232092957
0.4,8,0.635,-0.1858974358974359,0.6205072725087151,-0.2407707015737607
0.45,9,0.68,-0.12820512820512817,0.614376727972112,-0.24827180467715845
0.5,10,0.72,-0.07692307692307698,0.5681572304363506,-0.30482423885865556
0.55,11,0.71,-0.08974358974358981,0.5488640461593941,-0.32843065156640683
0.6,12,0.625,-0.19871794871794873,0.5249429017910806,-0.3576996617149581
0.65,13,0.655,-0.16025641025641024,0.5482630123812958,-0.32916605383144576
0.7,14,0.62,-0.20512820512820515,0.5374444043755259,-0.34240329460214736
0.75,15,0.64,-0.1794871794871795,0.5476018752253877,-0.32997499632298855
0.8,16,0.63,-0.19230769230769232,0.5307128260608246,-0.3506397999705839
0.85,17,0.575,-0.2628205128205129,0.5250631085467004,-0.3575525812619502
0.9,18,0.515,-0.33974358974358976,0.4573867051328285,-0.440358876305339
0.95,19,0.56,-0.282051282051282,0.4573266017550186,-0.4404324165318429
1.0,20,0.295,-0.6217948717948718,0.5,-0.38821885571407555
