checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
<0,6,critical/otherexistingcredit,radio/tv,1169,noknownsavings,>=7,4,malesingle,none,4,realestate,67,none,own,2,skilled,1,yes,yes,good
0<=X<200,48,existingpaid,radio/tv,5951,<100,1<=X<4,2,femalediv/dep/mar,none,2,realestate,22,none,own,1,skilled,1,none,yes,bad
nochecking,12,critical/otherexistingcredit,education,2096,<100,4<=X<7,2,malesingle,none,3,realestate,49,none,own,1,unskilledresident,2,none,yes,good
<0,42,existingpaid,furniture/equipment,7882,<100,4<=X<7,2,malesingle,guarantor,4,lifeinsurance,45,none,forfree,1,skilled,2,none,yes,good
<0,24,delayedpreviously,newcar,4870,<100,1<=X<4,3,malesingle,none,4,noknownproperty,53,none,forfree,2,skilled,2,none,yes,bad
nochecking,36,existingpaid,education,9055,noknownsavings,1<=X<4,2,malesingle,none,4,noknownproperty,35,none,forfree,1,unskilledresident,2,yes,yes,good
nochecking,24,existingpaid,furniture/equipment,2835,500<=X<1000,>=7,3,malesingle,none,4,lifeinsurance,53,none,own,1,skilled,1,none,yes,good
0<=X<200,36,existingpaid,usedcar,6948,<100,1<=X<4,2,malesingle,none,2,car,35,none,rent,1,highqualif/selfemp/mgmt,1,yes,yes,good
nochecking,12,existingpaid,radio/tv,3059,>=1000,4<=X<7,2,malediv/sep,none,4,realestate,61,none,own,1,unskilledresident,1,none,yes,good
0<=X<200,30,critical/otherexistingcredit,newcar,5234,<100,unemployed,4,malemar/wid,none,2,car,28,none,own,2,highqualif/selfemp/mgmt,1,none,yes,bad
0<=X<200,12,existingpaid,newcar,1295,<100,<1,3,femalediv/dep/mar,none,1,car,25,none,rent,1,skilled,1,none,yes,bad
<0,48,existingpaid,business,4308,<100,<1,3,femalediv/dep/mar,none,4,lifeinsurance,24,none,rent,1,skilled,1,none,yes,bad
