dataset,degree,features,accuracy,delta_accuracy,roc_auc,delta_auc,shifted_features,rmse,delta
Credit,0.0,0.0,0.78,0.0,0.8172857314581079,0.0,,,
Credit,0.05,1.0,0.72,-0.0769230769230769,0.7421565091958168,-0.091925283129872,,,
Credit,0.1,2.0,0.7,-0.1025641025641026,0.7109027527347037,-0.1301662009118987,,,
Credit,0.15,3.0,0.715,-0.0833333333333334,0.7038105541531434,-0.1388439476393586,,,
Credit,0.2,4.0,0.695,-0.108974358974359,0.6873422286332492,-0.1589939697014266,,,
Credit,0.25,5.0,0.675,-0.1346153846153845,0.6333693953600192,-0.2250330931019267,,,
Credit,0.3,6.0,0.615,-0.2115384615384615,0.5955042673398245,-0.2713634357993821,,,
Credit,0.35,7.0,0.675,-0.1346153846153845,0.6256160596225507,-0.2345197823209295,,,
Credit,0.4,8.0,0.635,-0.1858974358974359,0.6205072725087151,-0.2407707015737607,,,
Credit,0.45,9.0,0.68,-0.1282051282051281,0.614376727972112,-0.2482718046771584,,,
Credit,0.5,10.0,0.72,-0.0769230769230769,0.5681572304363506,-0.3048242388586555,,,
Credit,0.55,11.0,0.71,-0.0897435897435898,0.5488640461593941,-0.3284306515664068,,,
Credit,0.6,12.0,0.625,-0.1987179487179487,0.5249429017910806,-0.3576996617149581,,,
Credit,0.65,13.0,0.655,-0.1602564102564102,0.5482630123812958,-0.3291660538314457,,,
Credit,0.7,14.0,0.62,-0.2051282051282051,0.5374444043755259,-0.3424032946021473,,,
Credit,0.75,15.0,0.64,-0.1794871794871795,0.5476018752253877,-0.3299749963229885,,,
Credit,0.8,16.0,0.63,-0.1923076923076923,0.5307128260608246,-0.3506397999705839,,,
Credit,0.85,17.0,0.575,-0.2628205128205129,0.5250631085467004,-0.3575525812619502,,,
Credit,0.9,18.0,0.515,-0.3397435897435897,0.4573867051328285,-0.440358876305339,,,
Credit,0.95,19.0,0.56,-0.282051282051282,0.4573266017550186,-0.4404324165318429,,,
Credit,1.0,20.0,0.295,-0.6217948717948718,0.5,-0.3882188557140755,,,
Abalone,0.0,,,,,,0.0,2.257635735661802,0.0
Abalone,0.125,,,,,,1.0,3.461096583807956,0.5330624551765305
Abalone,0.25,,,,,,2.0,3.5841632963460164,0.587573778945059
Abalone,0.375,,,,,,3.0,4.130115843211777,0.8293986837522643
Abalone,0.5,,,,,,4.0,3.937279134325941,0.7439833504282162
Abalone,0.625,,,,,,5.0,4.65771188900706,1.0630927369873953
Abalone,0.75,,,,,,6.0,4.711185951926552,1.0867786053827309
Abalone,0.875,,,,,,7.0,3.1958708863065275,0.4155830525820813
Abalone,1.0,,,,,,8.0,3.370432573655102,0.492903624980535
Electricity,0.0,,0.8201478539115084,0.0,0.8954421471682553,0.0,0.0,,
Electricity,0.125,,0.5182610614586781,-0.3680882550787031,0.5568254456616745,-0.3781558669953405,1.0,,
Electricity,0.25,,0.5061238000662033,-0.382887124983183,0.5342402407775059,-0.4033782724355936,2.0,,
Electricity,0.375,,0.5010482180293501,-0.3890757433068748,0.5141547682256798,-0.4258090599692655,3.0,,
Electricity,0.5,,0.4867041818382434,-0.4065653168303511,0.4662229785022074,-0.4793376881168815,4.0,,
Electricity,0.625,,0.4927728125344808,-0.3991658818781111,0.4778437101483654,-0.46636004161799,5.0,,
Electricity,0.75,,0.4927728125344808,-0.3991658818781111,0.4821669657114746,-0.4615319736330498,6.0,,
Electricity,0.875,,0.4925521350546177,-0.3994349522400107,0.4740097938501315,-0.4706416317914683,7.0,,
Electricity,1.0,,0.4272316010151164,-0.4790797793623032,0.5,-0.4416166342167396,8.0,,
Concrete,0.0,,,,,,0.0,5.288501430618759,0.0
Concrete,0.125,,,,,,1.0,10.376533535425295,0.9620933588763791
Concrete,0.25,,,,,,2.0,10.693250326303335,1.0219811730394517
Concrete,0.375,,,,,,3.0,15.455607452080525,1.922492818588915
Concrete,0.5,,,,,,4.0,16.632447058349943,2.145020811009582
Concrete,0.625,,,,,,5.0,16.90134408710539,2.195866411088012
Concrete,0.75,,,,,,6.0,16.896323661078945,2.1949171013275235
Concrete,0.875,,,,,,7.0,17.035817369778563,2.221293894551402
Concrete,1.0,,,,,,8.0,16.99902193387285,2.214336264608697
